x,Name,Sector,Industry
AAL,Anglo American ,Materials,Iron/Steel
ABF,Associated British Foods,Consumer Staples,Consumer Products
ADM,Admiral Group,Financials,Insurance
AMFW,Amec Foster Wheeler,Energy,"Oil, Gas & Coal"
ANTO,Antofagasta,Materials,Metals & Mining
ATST,Alliance Trust,Financials,Investemens
AV,Aviva,Financials,Insurance
AZN,AstraZeneca,Health Care,Biotech & Pharma
BA,BAE Systems,Industrials,Aerospace & Defense
BARC,Barclays,Financials,Banking
BATS,British American Tobacco,Consumer Staples,Tobacco
BG,BG Group,Energy,"Oil, Gas & Coal"
BLND,British Land Co,Financials,Real Estate
BLT,BHP Billiton,Materials,Iron/Steel
BNZL,Bunzl,Consumers Discretionary,Distributors
BP,BP,Energy,"Oil, Gas & Coal"
BT-A,BT Group,Communications,Telecom
CCL,Carnival,Consumers Discretionary,"Gaming, Lodgind & Restaurants"
CNA,Centrica,Utilities,Utilities
CNE,Cairn Energy,Energy,"Oil, Gas & Coal"
COB,Cobham,Industrials,Aerospace & Defense
CPG,Compass Group,Consumers Discretionary,Commercial Services
CPI,Capita,Consumers Discretionary,Commercial Services
DGE,Diageo,Consumer Staples,Consumer Products
EMG,Man Group,Financials,Asset Management
EXPN,Experian,Technology,Technology Services
GFS,G4S,Consumers Discretionary,Commercial Services
GSK,GlaxoSmithKline,Health Care,Biotech & Pharma
HMSO,Hammerson,Financials,Real Estate
HOME,Home Retail Group,Consumers Discretionary,Retail -Discretionary
HSBA,HSBC Holdings,Financials,Banking
IAG,International Consolidated Airlines Group,Consumers Discretionary,Passenger Transportation
IAP,ICAP,Financials,Institutional Financial Services
IHG,InterContinental Hotels Group,Consumers Discretionary,"Gaming, Lodgind & Restaurants"
III,3i Group,Financials,Asset Management
IMB,Imperial Brands,Consumer Staples,Consumer Products
INTU,Intu Properties,Financials,Real Estate
ISAT,Inmarsat,Communications,Telecom
JMAT,Johnson Matthey,Materials,Chemicals
KAZ,KAZ Minerals,Materials,Metals & Mining
KGF,Kingfisher,Consumers Discretionary,Retail -Discretionary
LAND,Land Securities Group,Financials,Real Estate
LGEN,Legal & General Group,Financials,Insurance
LLOY,Lloyds Banking Group,Financials,Banking
LSE,London Stock Exchange Group,Financials,Institutional Financial Services
MKS,Marks & Spencer Group,Consumers Discretionary,Retail -Discretionary
MRW,Wm Morrison Supermarkets,Consumer Staples,Retail
NG,National Grid,Utilities,Utilities
NXT,Next,Consumers Discretionary,Retail -Discretionary
OML,Old Mutual,Financials,Insurance
PRU,Prudential,Financials,Insurance
PSON,Pearson,Communications,Media
RB,Reckitt Benckisher Group,Consumer Staples,Consumer Products
RBS,Royal Bank of Scotland Group,Financials,Banking
RDSA,Royal Dutch Shell,Energy,"Oil, Gas & Coal"
RDSB,Royal Dutch Shell,Energy,"Oil, Gas & Coal"
REL,RELX,Technology,Technology Services
REX,Rexam,Containers & Packaging,Containers & Packaging
RIO,Rio Tinto,Materials,Iron/Steel
RR,Rolls-Royce Holdings,Industrials,Aerospace & Defense
RRS,Randgold Resources,Materials,Metals & Mining
RSA,RSA Insurance Group,Financials,Insurance
SAB,SABMiller,Consumer Staples,Consumer Products
SBRY,J Sainsbury,Consumer Staples,Retail
SDR,Schroders,Financials,Asset Management
SDRC,Schroders,Financials,Asset Management
SGE,Sage Group,Technology,Software
SHP,Shire,Health Care,Biotech & Pharma
SKY,Sky,Communications,Media
SL,Standard Life,Financials,Insurance
SMIN,Smiths Group,Industrials,Machinery
SN,Smith & Nephew,Health Care,Medica Equipment & Devices
SRP,Serco Group,Technology,Technology Services
SSE,SSE,Utilities,Utilities
STAN,Standard Chartered,Financials,Banking
SVT,Severn Trent,Utilities,Utilities
TCG,Thomas Cook Group,Consumers Discretionary,Recreation Facilities
TLW,Tullow Oil,Energy,"Oil, Gas & Coal"
TSCO,Tesco,Consumer Staples,Retail
ULVR,Unilever,Consumer Staples,Consumer Products
UU,United Utilities Group,Utilities,Utilities
VED,Vedanta Resources,Materials,Metals & Mining
VOD,Vodafone Group,Communications,Telecom
WOS,Wolseley,Industrials,Industrial Services
WPP,WPP,Communications,Media
WTB,Whitbread,Consumers Discretionary,"Gaming, Lodgind & Restaurants"
