"","FTSE100_list"
"1","AAL"
"2","ABF"
"3","ADM"
"4","AMFW"
"5","ANTO"
"6","ATST"
"7","AV"
"8","AZN"
"9","BA"
"10","BARC"
"11","BATS"
"12","BG"
"13","BLND"
"14","BLT"
"15","BNZL"
"16","BP"
"17","BT-A"
"18","CCL"
"19","CNA"
"20","CNE"
"21","COB"
"22","CPG"
"23","CPI"
"24","DGE"
"25","EMG"
"26","EXPN"
"27","GFS"
"28","GSK"
"29","HMSO"
"30","HOME"
"31","HSBA"
"32","IAG"
"33","IAP"
"34","IHG"
"35","III"
"36","IMB"
"37","INTU"
"38","ISAT"
"39","JMAT"
"40","KAZ"
"41","KGF"
"42","LAND"
"43","LGEN"
"44","LLOY"
"45","LSE"
"46","MKS"
"47","MRW"
"48","NG"
"49","NXT"
"50","OML"
"51","PRU"
"52","PSON"
"53","RB"
"54","RBS"
"55","RDSA"
"56","RDSB"
"57","REL"
"58","REX"
"59","RIO"
"60","RR"
"61","RRS"
"62","RSA"
"63","SAB"
"64","SBRY"
"65","SDR"
"66","SDRC"
"67","SGE"
"68","SHP"
"69","SKY"
"70","SL"
"71","SMIN"
"72","SN"
"73","SRP"
"74","SSE"
"75","STAN"
"76","SVT"
"77","TCG"
"78","TLW"
"79","TSCO"
"80","ULVR"
"81","UU"
"82","VED"
"83","VOD"
"84","WOS"
"85","WPP"
"86","WTB"
