"V1","V2"
"1","Arlen.Specter..PA."
"2","Barack.H..Obama..IL."
"3","Barbara.A..Mikulski..MD."
"4","Barbara.Boxer..CA."
"5","Bill.Nelson..FL."
"6","Blanche.L..Lincoln..AR."
"7","Byron.L..Dorgan..ND."
"8","C..Saxby.Chambliss..GA."
"9","Carl.Levin..MI."
"10","Charles.E..Chuck.Grassley..IA."
"11","Charles.E..Chuck.Schumer..NY."
"12","Charles.T..Chuck.Hagel..NE."
"13","Christopher.J..Dodd..CT."
"14","Christopher.S..Kit.Bond..MO."
"15","Conrad.R..Burns..MT."
"16","Craig.Thomas..WY."
"17","Daniel.K..Inouye..HI."
"18","Daniel.Kahikina.Akaka..HI."
"19","David.B..Vitter..LA."
"20","Debbie.Ann.Stabenow..MI."
"21","Dianne.Feinstein..CA."
"22","E..Benjamin.Ben.Nelson..NE."
"23","Edward.M..Ted.Kennedy..MA."
"24","Elizabeth.H..Dole..NC."
"25","Evan.Bayh..IN."
"26","Frank.R..Lautenberg..NJ."
"27","George.Felix.Allen..VA."
"28","George.V..Voinovich..OH."
"29","Gordon.Harold.Smith..OR."
"30","Harry.M..Reid..NV."
"31","Herbert.H..Herb.Kohl..WI."
"32","Hillary.Rodham.Clinton..NY."
"33","James.M..Jim.Inhofe..OK."
"34","James.M..Jim.Talent..MO."
"35","James.Merrill.Jim.Jeffords..VT."
"36","Jeff.Bingaman..NM."
"37","Jefferson.B..Jeff.Sessions.III..AL."
"38","Jim.Bunning..KY."
"39","Jim.W..DeMint..SC."
"40","John.Cornyn..TX."
"41","John.D..Jay.Rockefeller.IV..WV."
"42","John.E..Sununu..NH."
"43","John.Eric.Ensign..NV."
"44","John.F..Jack.Reed..RI."
"45","John.Forbes.Kerry..MA."
"46","John.H..Johnny.Isakson..GA."
"47","John.R..Thune..SD."
"48","John.S..McCain..AZ."
"49","John.W..Warner..VA."
"50","Jon.Kyl..AZ."
"51","Joseph.I..Lieberman..CT."
"52","Joseph.R..Biden.Jr...DE."
"53","Judd.A..Gregg..NH."
"54","Kay.Bailey.Hutchison..TX."
"55","Ken.Salazar..CO."
"56","Kent.Conrad..ND."
"57","Lamar.Alexander..TN."
"58","Larry.E..Craig..ID."
"59","Lincoln.D..Chafee..RI."
"60","Lindsey.O..Graham..SC."
"61","Lisa.A..Murkowski..AK."
"62","Maria.Cantwell..WA."
"63","Mark.Dayton..MN."
"64","Mark.Pryor..AR."
"65","Mary.L..Landrieu..LA."
"66","Max.S..Baucus..MT."
"67","Mel.Martinez..FL."
"68","Michael.B..Enzi..WY."
"69","Michael.D..Mike.Crapo..ID."
"70","Michael.Mike.DeWine..OH."
"71","Mitch.McConnell..KY."
"72","Norm.Coleman..MN."
"73","Olympia.J..Snowe..ME."
"74","Orrin.G..Hatch..UT."
"75","Pat.Roberts..KS."
"76","Patrick.J..Leahy..VT."
"77","Patty.Murray..WA."
"78","Paul.S..Sarbanes..MD."
"79","Pete.V..Domenici..NM."
"80","Richard.C..Shelby..AL."
"81","Richard.G..Lugar..IN."
"82","Richard.J..Dick.Durbin..IL."
"83","Richard.J..Rick.Santorum..PA."
"84","Richard.M..Burr..NC."
"85","Robert.C..Byrd..WV."
"86","Robert.F..Bennett..UT."
"87","Robert.Menendez..NJ."
"88","Ron.Wyden..OR."
"89","Russell.D..Feingold..WI."
"90","Samuel.D..Sam.Brownback..KS."
"91","Susan.M..Collins..ME."
"92","Ted.Stevens..AK."
"93","Thad.Cochran..MS."
"94","Thomas.Allen.Tom.Coburn..OK."
"95","Thomas.Richard.Carper..DE."
"96","Thomas.Tom.Harkin..IA."
"97","Tim.P..Johnson..SD."
"98","Trent.Lott..MS."
"99","Wayne.A..Allard..CO."
"100","William.H..Bill.Frist..TN."
